triple,verbalization
fred:finish_1 a pbrs:finish-01 ;,"[TextBlock(text='The race is being completed.', type='text')]"
dul:hasQuality fred:Still ;,"[TextBlock(text='is still ongoing', type='text')]"
pblr:finish-01.intentional-agent fred:athlete_1 ;,"[TextBlock(text='The athlete is finishing the race', type='text')]"
pblr:finish-01.thing-finishing fred:race_1 ;,"[TextBlock(text='finishing the race', type='text')]"
"dul:hasMember fred:athlete_1,","[TextBlock(text='The athlete is a member of the group.', type='text')]"
fred:person_1 .,"[TextBlock(text='a fellow competitor', type='text')]"
fred:see_1 a pbrs:see-01 ;,"[TextBlock(text='A viewing occurs', type='text')]"
dul:hasQuality fred:Behind ;,"[TextBlock(text='is positioned behind', type='text')]"
pblr:see-01.attribute-of-arg1 fred:finish_1 ;,"[TextBlock(text='The athlete is seen finishing the race.', type='text')]"
pblr:see-01.thing-viewed fred:person_1 ;,"[TextBlock(text='Fellow competitors are visible', type='text')]"
dul:hasMember fred:person_1 .,"[TextBlock(text='The person is a member of the group.', type='text')]"
fred:see_2 a pbrs:see-01 ;,"[TextBlock(text='The American flag is visible.', type='text')]"
pblr:see-01.thing-viewed fred:flag_1 ;,"[TextBlock(text='The American flag is visible.', type='text')]"
dul:hasMember fred:spectator_1 .,"[TextBlock(text='The spectator is a member of the group.', type='text')]"
fred:cheer_1 a pbrs:cheer-02 ;,"[TextBlock(text='Cheering occurs at the event.', type='text')]"
pblr:cheer-02.clapper fred:spectator_1 ;,"[TextBlock(text='The spectators cheer from the stands.', type='text')]"
dul:hasMember fred:spectator_1 .,"[TextBlock(text='The spectators are members of the group.', type='text')]"
fred:crowd_1 a pbrs:crowd-01 ;,"[TextBlock(text='The stadium is filled to capacity.', type='text')]"
pblr:crowd-01.container fred:stadium_1 ;,"[TextBlock(text='The stadium is filled with a crowd.', type='text')]"
dul:hasMember fred:spectator_1 .,"[TextBlock(text='The spectator is a member of the group.', type='text')]"
fred:inspire_1 a pbrs:inspire-01 ;,"[TextBlock(text='The scene serves as an inspiration.', type='text')]"
pblr:inspire-01.causer-of-inspiration fred:scene_1 ;,"[TextBlock(text='The scene serves as an inspiration.', type='text')]"
dul:hasMember fred:athlete_1 .,"[TextBlock(text='The athlete is a member of the group.', type='text')]"
fred:personal_1 a pbrs:personal-02 ;,"[TextBlock(text='The pride is personal in nature.', type='text')]"
pblr:personal-02.private-thing fred:pride_1 ;,"[TextBlock(text='The pride is personal.', type='text')]"
dul:hasMember fred:athlete_1 .,"[TextBlock(text='The athlete is a member of the group.', type='text')]"
fred:symbolize_1 a pbrs:symbolize-01 ;,"[TextBlock(text='The moment symbolizes something', type='text')]"
pblr:symbolize-01.class fred:conjunct_3 ;,"[TextBlock(text='The moment symbolizes both personal and national pride.', type='text')]"
pblr:symbolize-01.symbol fred:moment_1 ;,"[TextBlock(text='The moment symbolizes the achievement', type='text')]"
dul:hasMember fred:moment_1 .,"[TextBlock(text='The moment is part of the overall scene.', type='text')]"
fred:capture_1 a pbrs:capture-01 ;,"[TextBlock(text='The scene captures a moment', type='text')]"
pblr:capture-01.thing-gotten fred:conjunct_5 ;,"[TextBlock(text='The scene captures raw emotion and athletic thrill', type='text')]"
dul:hasMember fred:athlete_1 .,"[TextBlock(text='The athlete is a member of the group.', type='text')]"
fred:embody_1 a pbrs:embody-01 ;,"[TextBlock(text='The scene embodies the spirit of competition.', type='text')]"
pblr:embody-01.entity-embodied fred:conjunct_4 ;,"[TextBlock(text='The scene embodies both international competition and Olympic spirit.', type='text')]"
dul:hasMember fred:athlete_1 .,"[TextBlock(text='The athlete is a member of the group.', type='text')]"
fred:wear_1 a pbrs:wear-01 ;,"[TextBlock(text='The athlete is wearing something.', type='text')]"
pblr:wear-01.clothing fred:uniform_1 ;,"[TextBlock(text='The athlete is wearing a Saint Lucia uniform', type='text')]"
pblr:wear-01.wearer fred:athlete_1 ;,"[TextBlock(text='The jubilant female athlete wears the uniform', type='text')]"
dul:hasMember fred:athlete_1 .,"[TextBlock(text='The athlete is a member of the group.', type='text')]"
fred:achieve_1 a pbrs:achieve-01 ;,"[TextBlock(text='An achievement occurred.', type='text')]"
dul:hasQuality fred:Athletic ;,"[TextBlock(text='The achievement has athletic qualities.', type='text')]"
dul:hasMember fred:athlete_1 .,"[TextBlock(text='The athlete is a member of the group.', type='text')]"
fred:compete_1 a pbrs:compete-01 ;,"[TextBlock(text='A competition takes place.', type='text')]"
pblr:compete-01.competitor fred:person_1 ;,"[TextBlock(text='The fellow person is a competitor in the competition.', type='text')]"
"dul:hasMember fred:athlete_1,","[TextBlock(text='The athlete is a member of the group.', type='text')]"
fred:person_1 .,"[TextBlock(text='a fellow competitor', type='text')]"
fred:compete_2 a pbrs:compete-01 ;,"[TextBlock(text='The competition takes place.', type='text')]"
dul:hasQuality fred:International ;,"[TextBlock(text='The competition has an international character.', type='text')]"
"dul:hasMember fred:athlete_1,","[TextBlock(text='The athlete is a member of the group.', type='text')]"
fred:spectator_1 .,"[TextBlock(text='spectators in the stadium', type='text')]"
fred:have_1 a pbrs:have-03 ;,"[TextBlock(text='The uniform has ""ALFRED"" on it.', type='text')]"
pblr:have-03.owner fred:uniform_1 ;,"[TextBlock(text='The uniform is owned by Saint Lucia', type='text')]"
pblr:have-03.possession fred:string-entity_1 ;,"[TextBlock(text='The uniform has ""ALFRED"" on it', type='text')]"
dul:hasMember fred:athlete_1 .,"[TextBlock(text='The athlete is a member of the group.', type='text')]"
fred:background_1 a fred:Background ;,"[TextBlock(text='The background is present in the scene.', type='text')]"
dul:hasMember fred:spectator_1 .,"[TextBlock(text='The spectator is a member of the group.', type='text')]"
fred:beam_1 a pbrs:beam-01 ;,"[TextBlock(text='The athlete beams with joy.', type='text')]"
pblr:beam-01.thing-transmitted fred:athlete_1 ;,"[TextBlock(text='The jubilant female athlete beams with joy', type='text')]"
pblr:beam-01.transmitter fred:conjunct_2 ;,"[TextBlock(text='Joy and exhilaration radiate from the athlete', type='text')]"
dul:hasMember fred:athlete_1 .,"[TextBlock(text='The athlete is a member of the group.', type='text')]"
fred:track_1 a fred:Track ;,"[TextBlock(text='The location is a running track.', type='text')]"
dul:hasMember fred:athlete_1 .,"[TextBlock(text='The athlete is a member of the group.', type='text')]"
fred:exhilarate_1 a pbrs:exhilarate-01 ;,"[TextBlock(text='The athlete is exhilarated.', type='text')]"
dul:hasMember fred:athlete_1 .,"[TextBlock(text='The athlete is a member of the group.', type='text')]"
fred:joy_1 a fred:Joy ;,"[TextBlock(text='The emotion of joy is present.', type='text')]"
dul:hasMember fred:athlete_1 .,"[TextBlock(text='The athlete is a member of the group.', type='text')]"
fred:emotion_1 a fred:Emotion ;,"[TextBlock(text='The raw emotion is present.', type='text')]"
dul:hasQuality fred:Raw ;,"[TextBlock(text='has a raw quality', type='text')]"
dul:hasMember fred:athlete_1 .,"[TextBlock(text='The athlete is a member of the group.', type='text')]"
fred:thrill_1 a pbrs:thrill-01 ;,"[TextBlock(text='The athletic achievement creates a thrilling sensation.', type='text')]"
pblr:thrill-01.excited-entity fred:achieve_1 ;,"[TextBlock(text='The athletic achievement causes excitement', type='text')]"
dul:hasMember fred:athlete_1 .,"[TextBlock(text='The athlete is a member of the group.', type='text')]"
fred:spirit_1 a fred:Spirit ;,"[TextBlock(text='The spirit is a fundamental emotional and activating principle.', type='text')]"
dul:hasQuality fred:game_1 ;,"[TextBlock(text='has Olympic quality', type='text')]"
dul:hasMember fred:athlete_1 .,"[TextBlock(text='The athlete is a member of the group.', type='text')]"
fred:potential_1 a fred:Potential ;,"[TextBlock(text='The potential represents an inherent capacity for achievement.', type='text')]"
fred:potentialOf fred:human_1 ;,"[TextBlock(text='Potential is a characteristic of human nature', type='text')]"
dul:hasMember fred:athlete_1 .,"[TextBlock(text='The athlete is a member of the group.', type='text')]"
fred:human_1 a fred:Human ;,"[TextBlock(text='The entity is characterized as having human qualities.', type='text')]"
dul:hasMember fred:athlete_1 .,"[TextBlock(text='The athlete is a member of the group.', type='text')]"
